miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	2.456097	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	3.274796	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	2.456097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	11.461787	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	182	149.003234	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4478	3666.134512	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1428	1169.102296	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	4341	3553.972737	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1537	1258.340497	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	2.456097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	4.093495	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	3.274796	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	2.456097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.637398	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.818699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	4.093495	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	19	15.555283	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	4	3.274796	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	11.461787	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	13	10.643088	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	102	83.507307	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	417	341.397519	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	364	298.006468	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1778	1455.646977	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	135	110.524377	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.818699	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.818699	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	7	5.730894	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	42	34.385362	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	1.637398	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	16	13.099185	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	46	37.660158	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	160	130.991854	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	15	12.280486	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.818699	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.818699	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.818699	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.818699	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.818699	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.818699	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	10	8.186991	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	73	59.765033	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	332	271.808097	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.818699	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.818699	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	2	1.637398	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	14	11.461787	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.818699	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.818699	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	3.274796	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	3.274796	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	36	29.473167	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	278	227.598346	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1304	1067.583610	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	52	42.572353	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	8	6.549593	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.818699	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692821:+	1	0.818699	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.818699	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	4.093495	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	22	18.011380	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	1.637398	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	9	7.368292	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	7	5.730894	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	182	149.003234	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	759	621.392607	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	3865	3164.271972	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	27	22.104875	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	2.456097	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	4	3.274796	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176374:+	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.818699	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	1	0.818699	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.818699	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	127	103.974784	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	4	3.274796	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	7	5.730894	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	3889	3183.920750	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	4	3.274796	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	2	1.637398	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	761	623.030005	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	1	0.818699	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	168	137.541447	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	9	7.368292	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	14	11.461787	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	3	2.456097	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	1.637398	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	30	24.560973	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268354:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	22	18.011380	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268352:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	3	2.456097	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	451	369.233288	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	13	10.643088	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	77	63.039830	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	2	1.637398	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	16	13.099185	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	2	1.637398	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	1	0.818699	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.818699	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	2	1.637398	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	61	49.940644	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	169	138.360146	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	342	279.995088	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.818699	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603713:+	1	0.818699	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603712:+	1	0.818699	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	15	12.280486	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	13	10.643088	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	19	15.555283	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	3	2.456097	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	2	1.637398	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	2	1.637398	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	5	4.093495	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	3	2.456097	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	575	470.751975	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152298:-	1	0.818699	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152293:-	1	0.818699	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152294:-	2	1.637398	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	5	4.093495	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	26	21.286176	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	3830	3135.617504	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	3	2.456097	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152299:-	1	0.818699	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	46	37.660158	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	25	20.467477	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	3	2.456097	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	1	0.818699	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152281-122152297:-	1	0.818699	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058441-65058461:-	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	388	317.655246	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	2	1.637398	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058459:-	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	331	270.989398	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	120	98.243890	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058461:-	4	3.274796	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058462:-	2	1.637398	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	2563	2098.325760	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058464:-	965	790.044619	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058463:-	35	28.654468	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058464:-	48	39.297556	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058445-65058464:-	3	2.456097	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058446-65058464:-	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058477-65058499:-	2	1.637398	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058477-65058500:-	1	0.818699	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058478-65058500:-	9	7.368292	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058500:-	1	0.818699	N	mature,MIMAT0004513
hsa-mir-101-2	hg38:chr9:4850343-4850365:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850363:+	3	2.456097	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850364:+	31	25.379672	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850365:+	935	765.483646	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850366:+	143	117.073969	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850367:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850363:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850364:+	38	31.110565	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850365:+	2608	2135.167219	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850366:+	367	300.462565	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850367:+	398	325.842237	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850368:+	75	61.402432	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850369:+	5	4.093495	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850364:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850365:+	2	1.637398	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850366:+	2	1.637398	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850346-4850368:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850368:+	1	0.818699	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850349-4850366:+	2	1.637398	N	mature,MIMAT0000099
hsa-mir-103a-1	hg38:chr5:168560902-168560925:-	1	0.818699	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560902-168560927:-	3	2.456097	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560925:-	5	4.093495	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560927:-	125	102.337386	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560922:-	4	3.274796	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560923:-	12	9.824389	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560924:-	2	1.637398	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560925:-	264	216.136559	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560926:-	7	5.730894	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560927:-	15850	12976.380531	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560928:-	6	4.912195	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560923:-	2	1.637398	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560925:-	9	7.368292	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560926:-	1	0.818699	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560927:-	1429	1169.920996	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560928:-	4	3.274796	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560906-168560926:-	1	0.818699	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560906-168560927:-	7	5.730894	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560907-168560927:-	1	0.818699	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560908-168560927:-	1	0.818699	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560940-168560964:-	4	3.274796	N	unannotated
hsa-mir-103a-1	hg38:chr5:168560941-168560964:-	34	27.835769	N	unannotated
hsa-mir-103a-2	hg38:chr20:3917485-3917504:+	1	0.818699	N	precursor
hsa-mir-103a-2	hg38:chr20:3917504-3917527:+	6	4.912195	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917540-3917564:+	8	6.549593	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917560:+	2	1.637398	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917561:+	2	1.637398	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917562:+	21	17.192681	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917563:+	1430	1170.739695	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917564:+	15931	13042.695157	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917565:+	97	79.413811	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917566:+	13	10.643088	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917562:+	1	0.818699	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917563:+	1	0.818699	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917564:+	13	10.643088	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917563:+	14	11.461787	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917564:+	271	221.867453	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917565:+	5	4.093495	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917544-3917564:+	1	0.818699	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917545-3917564:+	18	14.736584	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917546-3917564:+	3	2.456097	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917547-3917564:+	3	2.456097	N	mature,MIMAT0000101
hsa-mir-105-2	hg38:chrX:152394458-152394481:-	1	0.818699	N	mature,MIMAT0000102
hsa-mir-106a	hg38:chrX:134170244-134170264:-	4	3.274796	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170265:-	1	0.818699	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170266:-	1	0.818699	Y	mature,MIMAT0000103
